Date,Open,High,Low,Close,Adj Close,Volume
2022-07-03,18450.398438,18762.560547,18186.574219,18496.458984,18496.458984,15710783136
2022-07-04,18496.687500,19415.781250,18274.808594,19391.966797,19391.966797,20698784642
2022-07-05,19386.304688,20098.140625,18851.300781,19685.341797,19685.341797,26047631600
2022-07-06,19689.734375,20225.490234,19312.757813,20175.707031,20175.707031,24152964859
2022-07-07,20175.283203,21416.761719,19885.148438,21278.945313,21278.945313,25387089351
2022-07-08,21278.519531,21904.480469,20942.013672,21332.742188,21332.742188,48985070722
2022-07-09,21318.714844,21476.087891,21052.808594,21196.376953,21196.376953,29097746702
2022-07-10,21195.273438,21195.273438,20347.154297,20517.044922,20517.044922,28216532104
2022-07-11,20513.015625,20513.015625,19834.201172,19879.431641,19879.431641,24040051438
2022-07-12,19879.349609,20018.130859,19244.058594,19265.537109,19265.537109,25732247343
2022-07-13,19267.589844,20127.437500,18968.603516,20142.341797,20142.341797,32928433961
2022-07-14,20141.736328,20739.707031,19781.679688,20515.224609,20515.224609,31075892235
2022-07-15,20518.453125,20966.388672,20357.714844,20669.638672,20669.638672,25698330756
2022-07-16,20667.431641,21342.289063,20354.748047,21020.792969,21020.792969,24108530424
2022-07-17,21025.480469,21427.835938,20576.527344,20577.681641,20577.681641,22705287763
2022-07-18,20580.222656,22271.199219,20580.222656,22160.568359,22160.568359,39396484620
2022-07-19,22142.988281,23139.166016,21324.611328,22862.421875,22862.421875,47666425150
2022-07-20,22866.095703,23725.611328,22458.470703,22818.695313,22818.695313,42169251336
2022-07-21,22820.138672,22961.906250,22032.906250,22665.824219,22665.824219,32906835618
2022-07-22,22664.966797,23141.558594,22134.257813,22243.416016,22243.416016,30769244151
2022-07-23,22235.585938,22500.203125,21544.017578,21996.937500,21996.937500,23520800525
2022-07-24,21996.968750,22490.054688,21841.609375,22166.929688,22166.929688,23104554215
2022-07-25,22164.958984,22215.074219,20894.015625,20894.072266,20894.072266,34795798682
2022-07-26,20893.505859,20893.505859,20541.041016,20970.222656,20970.222656,28261426744
2022-07-27,20974.580078,22515.351563,20771.896484,22469.162109,22469.162109,31119933295
2022-07-28,22472.193359,23648.152344,22385.816406,23394.453125,23394.453125,39454422891
2022-07-29,23395.753906,23731.828125,23115.078125,23277.884766,23277.884766,35093136683
2022-07-30,23270.242188,24028.837891,23058.718750,23132.742188,23132.742188,27525354526
2022-07-31,23128.697266,23587.878906,22783.910156,22855.736328,22855.736328,23067963939
2022-08-01,22855.562500,22842.218750,22334.984375,22720.060547,22720.060547,25190419169
2022-08-02,22714.441406,22972.824219,22182.369141,22626.390625,22626.390625,27954696457
2022-08-03,22629.527344,23139.238281,22382.734375,22494.580078,22494.580078,25883226996
2022-08-04,22496.259766,22800.652344,21947.751953,22084.509766,22084.509766,24513676701
2022-08-05,22080.486328,22891.902344,22081.130859,22861.046875,22861.046875,28350151755
2022-08-06,22863.117188,22897.609375,22539.021484,22539.021484,22539.021484,15684419685
2022-08-07,22541.207031,22955.015625,22473.525391,22783.662109,22783.662109,15617948551
2022-08-08,22787.236328,23732.878906,22792.974609,23347.226563,23347.226563,28020750644
2022-08-09,23349.183594,23441.267578,22445.599609,22691.765625,22691.765625,23075182547
2022-08-10,22690.375000,23377.703125,22313.289063,23252.611328,23252.611328,31884390941
2022-08-11,23253.292969,23987.421875,23155.046875,23212.164063,23212.164063,35971940218
2022-08-12,23211.845703,23788.019531,22995.406250,23778.521484,23778.521484,26568263606
2022-08-13,23777.906250,24224.056641,23723.267578,23799.226563,23799.226563,22399261009
2022-08-14,23804.087891,24335.980469,23586.990234,23717.820313,23717.820313,22425396656
2022-08-15,23716.826172,24529.923828,23463.201172,23753.242188,23753.242188,34565108255
2022-08-16,23742.580078,23855.394531,23320.537109,23484.271484,23484.271484,27290004820
2022-08-17,23482.330078,24013.031250,22837.875000,22928.550781,22928.550781,30391556937
2022-08-18,22933.503906,23180.542969,22957.160156,23007.748047,23007.748047,23537897975
2022-08-19,23008.316406,23008.316406,20793.990234,20802.666016,20802.666016,40364302288
2022-08-20,20797.970703,21274.220703,20779.853516,21088.042969,21088.042969,27493953357
2022-08-21,21082.396484,21584.640625,21025.410156,21450.439453,21450.439453,23012532155
2022-08-22,21447.792969,21447.792969,20929.886719,21531.794922,21531.794922,31863147715
2022-08-23,21533.945313,21639.406250,21131.224609,21600.099609,21600.099609,31984913508
2022-08-24,21598.460938,21851.169922,21305.326172,21463.269531,21463.269531,32064212956
2022-08-25,21463.708984,21791.402344,21405.037109,21664.152344,21664.152344,31119531567
2022-08-26,21659.318359,21725.210938,20272.464844,20333.218750,20333.218750,42479716254
2022-08-27,20335.689453,20414.265625,19960.378906,20112.125000,20112.125000,30222499731
2022-08-28,20111.417969,20209.783203,19742.873047,19742.873047,19742.873047,24523391716
2022-08-29,19741.201172,20360.416016,19721.193359,20276.195313,20276.195313,32602801022
2022-08-30,20276.810547,20545.109375,19573.501953,19750.187500,19750.187500,34402151969
2022-08-31,19752.953125,20346.310547,19752.953125,19973.794922,19973.794922,33099342465
2022-09-01,19974.527344,20143.310547,19757.466797,20224.716797,20224.716797,30328353496
2022-09-02,20223.644531,20370.679688,19897.353516,20064.068359,20064.068359,29261522450
2022-09-03,20064.015625,20131.625000,19791.371094,19925.734375,19925.734375,23724552286
2022-09-04,19926.121094,20170.126953,19729.541016,20172.349609,20172.349609,25480345215
2022-09-05,20174.445313,20188.324219,19844.910156,19910.027344,19910.027344,28955481570
2022-09-06,19915.406250,20225.146484,18984.921875,19033.146484,19033.146484,43854382000
2022-09-07,19033.162109,19408.599609,18860.371094,19297.730469,19297.730469,35253289201
2022-09-08,19297.347656,19418.828125,19196.421875,19310.755859,19310.755859,32162701900
2022-09-09,19309.062500,21123.392578,19285.066406,21065.994141,21065.994141,47755087325
2022-09-10,21061.816406,21435.525391,20852.798828,21356.978516,21356.978516,36362838255
2022-09-11,21355.013672,21618.072266,21087.466797,21616.785156,21616.785156,34252356324
2022-09-12,21617.669922,22140.179688,21431.626953,22084.777344,22084.777344,49570880589
2022-09-13,22085.796875,22291.380859,20126.269531,20340.894531,20340.894531,51202341982
2022-09-14,20228.498047,20493.400391,19821.562500,20277.402344,20277.402344,37940323940
2022-09-15,20278.605469,20385.480469,19641.564453,19725.560547,19725.560547,36433988322
